Part Name,	Manufacturer/Type,	Designator,	Quantity,	Supplier,	Attrition Type,	LCSC Part#,	Unit Price,	Source
TUSB8041IRGCR,	Texas Instruments,	U1,	2,	JLCPCB,	Extended,	C544686,	$4.0565,	[LCSC](https://www.lcsc.com/product-detail/C544686.html)
0402WGF4701TCE,	UNI-ROYAL (Uniroyal Elec),	R10,R11,R6,R7,	8,	JLCPCB,	Basic,	C25900,	$0.0029,	[LCSC](https://www.lcsc.com/product-detail/C25900.html)
0402WGF1002TCE,	UNI-ROYAL (Uniroyal Elec),	R13,R14,R15,R16,R9,	10,	JLCPCB,	Basic,	C25744,	$0.0031,	[LCSC](https://www.lcsc.com/product-detail/C25744.html)
XC6206P332MR,	HXY (MOSFET),	U6,	10,	JLCPCB,	Extended,	C5148692,	$0.0182,	[LCSC](https://www.lcsc.com/product-detail/C5148692.html)
ARG05BTC6192,	Viking Tech,	R1,R12,	8,	JLCPCB,	Extended,	C2984460,	$0.0290,	[LCSC](https://www.lcsc.com/product-detail/C2984460.html)
SMNR4020-2.2UH,	SXN (Shun Xiang Nuo Elec),	L1,	6,	JLCPCB,	Extended,	C135262,	$0.0584,	[LCSC](https://www.lcsc.com/product-detail/C135262.html)
CR0402FF4122G,	LIZ Elec,	R17,	20,	JLCPCB,	Extended,	C100420,	$0.0049,	[LCSC](https://www.lcsc.com/product-detail/C100420.html)
0805W8F1004T5E,	UNI-ROYAL (Uniroyal Elec),	R4,	2,	JLCPCB,	Basic,	C17514,	$0.0047,	[LCSC](https://www.lcsc.com/product-detail/C17514.html)
CL05A106MQ5NUNC,	Samsung Electro-Mechanics,	C6,	2,	JLCPCB,	Basic,	C15525,	$0.0256,	[LCSC](https://www.lcsc.com/product-detail/C15525.html)
0402CG220J500NT,	FH (Guangdong Fenghua Advanced Tech),	C51,	2,	JLCPCB,	Basic,	C1555,	$0.0053,	[LCSC](https://www.lcsc.com/product-detail/C1555.html)
X322524MRB4SI,	YXC (Crystal Oscillators),	X1,	6,	JLCPCB,	Extended,	C70571,	$0.1105,	[LCSC](https://www.lcsc.com/product-detail/C70571.html)
0402CG180J500NT,	FH (Guangdong Fenghua Advanced Tech),	C1,C2,	4,	JLCPCB,	Basic,	C1549,	$0.0048,	[LCSC](https://www.lcsc.com/product-detail/C1549.html)
GRM21BR61H106KE43L,	Murata Electronics,	C42,C47,C50,	6,	JLCPCB,	Basic,	C440198,	$0.2493,	[LCSC](https://www.lcsc.com/product-detail/C440198.html)
CL05B104KO5NNNC,	Samsung Electro-Mechanics,	C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C22,C23,C24,C26,C27,C30,C31,C32,C35,C36,C37,C38,C39,C4,C40,C41,C43,C44,C45,C46,C5,C7,C9,	68,	JLCPCB,	Basic,	C1525,	$0.0051,	[LCSC](https://www.lcsc.com/product-detail/C1525.html)
RC0402FR-0790K9L,	YAGEO,	R8,	20,	JLCPCB,	Extended,	C163452,	$0.0039,	[LCSC](https://www.lcsc.com/product-detail/C163452.html)
0402WGF5101TCE,	UNI-ROYAL (Uniroyal Elec),	R2,R3,	4,	JLCPCB,	Basic,	C25905,	$0.0026,	[LCSC](https://www.lcsc.com/product-detail/C25905.html)
UCM1V151MCL1GS,	Nichicon,	C53,C54,UC33,UC34,	8,	JLCPCB,	Extended,	C729687,	$0.3816,	[LCSC](https://www.lcsc.com/product-detail/C729687.html)
BLM15PX221SN1D,	Murata Electronics,	FB1,FB2,FB3,FB4,FB5,FB6,	22,	JLCPCB,	Extended,	C160973,	$0.0174,	[LCSC](https://www.lcsc.com/product-detail/C160973.html)
0402WGF9531TCE,	UNI-ROYAL (Uniroyal Elec),	R5,	20,	JLCPCB,	Extended,	C96273,	$0.0026,	[LCSC](https://www.lcsc.com/product-detail/C96273.html)
TPS2561DRCR,	Texas Instruments,	U2,U4,	4,	JLCPCB,	Extended,	C140303,	$1.4036,	[LCSC](https://www.lcsc.com/product-detail/C140303.html)
0402B102K500NT,	FH (Guangdong Fenghua Advanced Tech),	C21,C25,C8,	6,	JLCPCB,	Basic,	C1523,	$0.0060,	[LCSC](https://www.lcsc.com/product-detail/C1523.html)
CL10A105KB8NNNC,	Samsung Electro-Mechanics,	C3,C48,C49,	6,	JLCPCB,	Basic,	C15849,	$0.0058,	[LCSC](https://www.lcsc.com/product-detail/C15849.html)
0603WAF4992T5E,	UNI-ROYAL (Uniroyal Elec),	R18,	2,	JLCPCB,	Basic,	C23184,	$0.0047,	[LCSC](https://www.lcsc.com/product-detail/C23184.html)
1054500101,	MOLEX,	USBC1,	2,	JLCPCB,	Extended,	C134092,	$0.8399,	[LCSC](https://www.lcsc.com/product-detail/C134092.html)
SY8089A1AAC,	Silergy Corp,	U5,	6,	JLCPCB,	Extended,	C479074,	$0.0879,	[LCSC](https://www.lcsc.com/product-detail/C479074.html)
CL05A106MP5NUNC,	Samsung Electro-Mechanics,	C52,	20,	JLCPCB,	Extended,	C315248,	$0.0324,	[LCSC](https://www.lcsc.com/product-detail/C315248.html)
HC-USB3.0-L175-2X1-P,	Hong Cheng,	USB1,USB2,	4,	JLCPCB,	Extended,	C7501881,	$0.3107,	[LCSC](https://www.lcsc.com/product-detail/C7501881.html)
