Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,18pF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C22, C23, C24, C26, C27, C30, C31, C32, C35, C36, C37, C38, C39, C4, C40, C41, C43, C44, C45, C46, C5, C7, C9",0402,34,0.1uF,
"C21, C25, C8",0402,3,0.001uF,
"C3, C48, C49",0603,3,1uF,
"C42, C47, C50",0805,3,10uF,
C51,0402,1,22pF,
C52,0402,1,10uF/10V,
"C53, C54, UC33, UC34",CAP-SMD_L6.6-W6.6,4,UCM1V151MCL1GS,C729687
C6,0402,1,10uF,
"FB1, FB2, FB3, FB4, FB5, FB6",0402,6,220 @ 100MHZ,
L1,L_Coilcraft_0403HQ_1008Metric,1,2.2uH,
"R1, R12",0805,2,61.9k,
"R10, R11, R6, R7",0402,4,4.7k,
"R13, R14, R15, R16, R9",0402,5,10k,
R17,0402,1,41.2k,
R18,0603,1,49.9k,
"R2, R3",0402,2,5.1k,
R4,0805,1,1M,
R5,0402,1,9.53k,
R8,0402,1,90.9k,
U1,QFN-64_L9.0-W9.0-P0.50-BL-EP7.2,1,TUSB8041IRGCR,C544686
"U2, U4",VSON-10_L3.0-W3.0-P0.50-TL-EP_TPS62410DRCR,2,TPS2561DRCR,C140303
U5,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,SY8089A1AAC,C479074
U6,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,XC6206P332MR_C5148692,C5148692
"USB1, USB2",USB-A-TH_H181-AF2R06-12ALCR,2,HC-USB3.0-L175-2X1-P,C7501881
USBC1,USB-C-SMD_TYPE-C-USB-18,1,105450-0101,C134092
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL-2,1,X322524MRB4SI,C70571
