Designator,Mid X,Mid Y,Rotation,Layer
C1,118.568231,-147.475517,315.0,top
C10,92.785,-120.19,180.0,top
C11,130.745387,-142.040234,135.0,top
C12,131.62927,-137.168269,45.0,top
C13,92.785,-119.175,0.0,top
C14,90.17,-126.56,0.0,top
C15,85.3,-127.24,90.0,top
C16,87.3,-127.14,90.0,top
C17,129.895,-123.0,180.0,top
C18,129.455,-122.025,180.0,top
C19,128.845,-119.875,0.0,top
C2,115.45696,-150.869629,315.0,top
C20,111.225,-120.28,270.0,top
C21,130.325,-118.995,270.0,top
C22,122.825,-127.995,270.0,top
C23,125.225,-127.895,90.0,top
C24,121.675,-127.955,90.0,top
C25,75.675,-120.305,90.0,top
C26,94.215,-118.745,270.0,top
C27,136.656799,-134.757036,225.0,top
C3,104.846824,-152.106348,270.0,top
C30,106.869999,-129.275,180.0,top
C31,104.85,-123.595,90.0,top
C32,104.949999,-118.445001,270.0,top
C35,106.024155,-135.673072,90.0,top
C36,112.314411,-151.514411,315.0,top
C37,109.761217,-140.683756,0.0,top
C38,107.82,-138.35,0.0,top
C39,106.13022,-152.107899,270.0,top
C4,109.160589,-153.135589,315.0,top
C40,96.276689,-139.785731,135.0,top
C41,96.817626,-137.194184,135.0,top
C42,91.90677,-144.396065,225.0,top
C43,94.381643,-146.03739,270.0,top
C44,113.504511,-145.552186,0.0,top
C45,107.226239,-152.325436,270.0,top
C46,103.771187,-135.981495,0.0,top
C47,104.175073,-132.905582,45.0,top
C48,77.3,-139.9,0.0,top
C49,79.775,-137.325,270.0,top
C5,109.314411,-151.764411,315.0,top
C50,99.571751,-131.303249,45.0,top
C51,95.463519,-126.364842,315.0,top
C52,94.721055,-127.107305,315.0,top
C53,127.125,-135.45,45.0,top
C54,135.362794,-129.75779,225.0,top
C6,100.165778,-152.867205,315.0,top
C7,75.795,-152.8,0.0,top
C8,73.08,-141.55,0.0,top
C9,92.785,-121.19,180.0,top
FB1,92.895,-117.225,180.0,top
FB2,90.18,-127.61,180.0,top
FB3,128.975,-118.125,225.0,top
FB4,123.925,-129.155,90.0,top
FB5,92.860589,-141.935589,315.0,top
FB6,101.898187,-132.396465,315.0,top
L1,100.179919,-126.060789,135.0,top
R1,138.376837,-138.852951,135.0,top
R10,97.323208,-150.576182,225.0,top
R11,96.121124,-149.444811,225.0,top
R12,108.7375,-120.125,180.0,top
R13,135.60321,-141.396768,45.0,top
R14,132.350519,-137.931945,45.0,top
R15,104.649999,-125.584999,90.0,top
R16,109.05,-123.135,270.0,top
R17,94.006877,-127.807342,315.0,top
R18,96.916623,-130.222112,315.0,top
R2,78.375,-145.5,0.0,top
R3,78.415002,-152.585,180.0,top
R4,119.110935,-145.82619,315.0,top
R5,113.575272,-144.562238,0.0,top
R6,103.43261,-151.522821,270.0,top
R7,98.775,-151.1,225.0,top
R8,101.205223,-151.487465,270.0,top
R9,102.265885,-151.517515,90.0,top
U1,102.948242,-143.819777,225.0,top
U2,133.377667,-140.150568,45.0,top
U4,107.34,-125.675,90.0,top
U5,98.344978,-127.902801,135.0,top
U6,77.325,-137.3,180.0,top
UC33,99.709999,-120.475001,90.0,top
UC34,96.375,-112.425,270.0,top
USB1,83.6,-120.46,180.0,top
USB2,119.825,-121.335,180.0,top
USBC1,73.3075,-146.5,270.0,top
X1,117.055022,-149.229142,135.0,top
